admin3Pcod,admin3Name,admin2Pcod,admin1Pcod,admin0Pcod,area,agg_level,agg_title,year,flood_pop,flood_pop_s,wrsi_75,wrsi_90,wrsi_75_long,wrsi_90_long,pop_wp,pop_dens_wp,city_mtr,conf_count,conf_pop_buffer,conf_share,pov_2021_22_std,number_poor_2021_22_std,ipc_p_2019_2023_std,pti_need,pti_access
NER004008007,Sarkin Haoussa,NER004008,NER004,NE,683.2519923172098,admin3,Commune,NA,-0.2800148669355918,-0.48493439661660187,NA,NA,NA,-0.587734612428191,0.3633956797756505,0.17892951658829004,-0.22462029256289562,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-1.1847161658709107,-0.785982820873335,0.371574537982747
NER004008008,Tchaké,NER004008,NER004,NE,773.2607461601392,admin3,Commune,NA,-0.2960350913376448,-0.028528345819911444,NA,-0.13736667687737403,-0.26333589651341377,2.6468324270041985,-0.5796595705550316,0.06866090495908914,0.8610040935572965,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-1.1847161658709107,0.9528612280933881,-0.20932106085239155
NER004009001,Baoudetta,NER004009,NER004,NE,66.03004341950616,admin3,Commune,NA,-0.776672874044574,-0.31179057650150976,NA,NA,NA,-0.587734612428191,-1.3335390203489816,-0.1907388254693056,-0.15803206690382837,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.49758215211170304,0.15966634834834398
NER004009002,Hawandawaki,NER004009,NER004,NE,264.14017965230084,admin3,Commune,NA,-0.7085982368511259,-0.701989297460994,NA,NA,NA,-0.587734612428191,-0.5991754847483763,-0.6889804277568774,-0.02630925294299437,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.6814075843943089,-0.1463339021005946
NER004009003,Koona,NER004009,NER004,NE,50.606467386715785,admin3,Commune,NA,-0.8043088126647537,-0.5801468682348071,NA,NA,NA,-0.587734612428191,-1.255118138046173,0.31998657531469804,-0.3377865262422611,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.6240067370317358,0.4950614987374407
NER004009004,Korgom,NER004009,NER004,NE,664.8399625483845,admin3,Commune,NA,-0.35252673947846547,-0.490273367242231,NA,NA,NA,-0.587734612428191,0.14765884338890872,-0.7325950389716814,0.07748982740888548,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.5816666823793605,-0.2179389410131746
NER004009005,Maïjirgui,NER004009,NER004,NE,762.5536965445827,admin3,Commune,NA,-0.2910074976037295,-0.4517724705751614,NA,NA,NA,-0.587734612428191,0.2149894886938059,-0.5932869580495029,0.10679526844896688,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.5635286322194604,-0.16450602562023112
NER004009006,Ourafane,NER004009,NER004,NE,2319.696187163479,admin3,Commune,NA,-0.009221909847480357,-0.5975699803344308,NA,-0.13736667687737403,-0.26333589651341377,-0.587734612428191,1.983315946755196,-0.34957443768864976,0.7194559081574307,-0.36141275728348593,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.6322148908297442,-0.34371966691662453
NER004009007,Tessaoua,NER004009,NER004,NE,1109.135997587235,admin3,Commune,NA,1.3949133001565344,-0.14390149870533922,NA,NA,NA,-0.587734612428191,2.907500778889412,0.12973166335567657,-0.3538451445656834,-0.31246377895486716,NA,NA,0.6881867225200929,1.130894832338123,-0.7456836909146869,-0.418488396433776,0.3866704414866416
NER005001001,Abalak,NER005001,NER005,NE,6886.53527175347,admin3,Commune,NA,0.8843694606569853,0.6412892157876893,NA,-0.13736667687737403,-0.26333589651341377,1.5686434138600687,0.23304294547692453,-0.3419451356511095,-0.31522775087889926,-0.11666786564039211,NA,NA,0.08273959009256064,0.5592008771364967,0.10897048851138103,1.0847090949962424,0.043692737182813454
NER005001002,Akoubounou,NER005001,NER005,NE,1649.7962730720087,admin3,Commune,NA,-0.704193348549744,-0.7387072112630694,NA,-0.13736667687737403,-0.26333589651341377,-0.587734612428191,-0.44113949224832527,-0.44732729285105227,-0.30367880084422955,-0.31246377895486716,NA,NA,0.08273959009256064,0.5592008771364967,0.10897048851138103,-0.5813024208787899,0.08200069520330108
NER005001003,Azeye,NER005001,NER005,NE,2244.790290192218,admin3,Commune,NA,-0.7380529204325653,-0.8374525327332301,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,-0.13351180656687636,-0.2537584431995812,0.41537232013012115,-0.2635148006262484,NA,NA,0.08273959009256064,0.5592008771364967,0.10897048851138103,-0.11987943216239799,-0.19702475722756088
NER005001004,Tabalak,NER005001,NER005,NE,915.8326487829845,admin3,Commune,NA,-0.5030667500954609,-0.3711210974843691,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,-0.5770453082206031,-0.06254225395141161,-0.6346083102439398,-0.2635148006262484,NA,NA,0.08273959009256064,0.5592008771364967,0.10897048851138103,0.09981267103260678,0.4058768160433084
NER005001005,Tamaya,NER005001,NER005,NE,2284.495235448636,admin3,Commune,NA,-0.08498346784821043,0.8239197845426343,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,-0.8699390281273884,2.7043239034382855,0.23765946991990447,-0.36141275728348593,NA,NA,0.08273959009256064,0.5592008771364967,0.10897048851138103,0.6628050514120662,1.373716207381883
NER005002001,Bagaroua,NER005002,NER005,NE,3076.5144965582476,admin3,Commune,NA,0.14872891480906678,-0.012975738071906034,NA,-0.13736667687737403,-0.26333589651341377,0.49045440071593877,0.17149728935341477,-0.140521086106583,0.053135077203283504,-0.01876990898315458,NA,NA,0.08273959009256064,0.5592008771364967,0.42890925320621076,0.41926299350287966,-0.08494961976225122
NER005003001,Alléla,NER005003,NER005,NE,1603.4842487721583,admin3,Commune,NA,-0.49376099142455687,-0.4803548660803298,NA,NA,NA,-0.587734612428191,-0.33524211051800185,0.4641557865704832,-0.40679093291413865,-0.31246377895486716,NA,NA,0.08273959009256064,0.5592008771364967,-1.004951451062822,-0.98436742875511,0.5748323231698141
NER005003002,Bazaga,NER005003,NER005,NE,390.29992408896914,admin3,Commune,NA,-0.5447747619586656,-0.35826373300452846,NA,NA,NA,-0.587734612428191,-0.7063915965683769,0.47388831532203807,-0.9081756708097827,-0.21456582229762963,NA,NA,0.08273959009256064,0.5592008771364967,-1.004951451062822,-0.9268494152148689,0.7755503464198864
NER005003003,Birni N'Konni,NER005003,NER005,NE,864.0392654890103,admin3,Commune,NA,-0.41728886069685767,-0.8031798032403208,NA,NA,NA,-0.587734612428191,2.112809012904656,1.4597383993886548,-1.0755789013173493,-0.01876990898315458,NA,NA,0.08273959009256064,0.5592008771364967,-1.004951451062822,-1.1364525854647913,1.2406277333688864
NER005003004,Tsernaoua,NER005003,NER005,NE,320.87650708783036,admin3,Commune,NA,-0.427629004681438,-0.5793167670857123,NA,NA,NA,-0.587734612428191,0.20924195658312428,0.47899778331345694,-0.908518824355473,-0.21456582229762963,NA,NA,0.08273959009256064,0.5592008771364967,-1.004951451062822,-1.0309890942159554,0.7781989143594775
